Excel файл;Название показателя;Код показателя;Excel колонка 2022;Excel колонка 2023;Ключевое слово 2022;Ключевое слово 2023
T24_000000_t01Ved14.xlsx;Валюта баланса;ValBal;3;4;"""2022"",""предыдущий"",""Валюта баланса""";"""2023"",""конец"",""Валюта баланса"""
T24_000000_t01Ved14.xlsx;Внеоборотные активы;VneAkt;5;6;"""2022"",""предыдущий"",""Внеоборотные активы""";"""2023"",""конец"",""Внеоборотные активы"""
T24_000000_t01Ved14.xlsx;Оборотные активы;OboAkt;7;8;"""2022"",""предыдущий"",""Оборотные активы""";"""2023"",""конец"",""Оборотные активы"""
T24_000000_t01Ved14.xlsx;Капитал и резервы;KapIRez;9;10;"""2022"",""предыдущий"",""Капитал и резервы""";"""2023"",""конец"",""Капитал и резервы"""
T24_000000_t01Ved14.xlsx;Долгосрочные обязательства;DolOby;11;12;"""2022"",""предыдущий"",""Долгосрочные обязательства""";"""2023"",""конец"",""Долгосрочные обязательства"""
T24_000000_t01Ved14.xlsx;Краткосрочные обязательства;KraOby;13;14;"""2022"",""предыдущий"",""Краткосрочные обязательства""";"""2023"",""конец"",""Краткосрочные обязательства"""
T24_000000_t01Ved14.xlsx;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;ValBalUbyOrgNaKonGoItAktUbyOrg;15;;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций
T24_000000_t01Ved14.xlsx;Валюта баланса убыточных организаций, на конец года в % к валюте баланса;ValBalUbyOrgNaKonGoV%KValBal;16;;Валюта баланса убыточных организаций, на конец года в % к валюте баланса;Валюта баланса убыточных организаций, на конец года в % к валюте баланса
T24_000000_t01Ved14mo8.xlsx;Валюта баланса;ValBal_1;3;4;"""2022"",""предыдущий"",""Валюта баланса""";"""2023"",""конец"",""Валюта баланса"""
T24_000000_t01Ved14mo8.xlsx;Внеоборотные активы;VneAkt_1;5;6;"""2022"",""предыдущий"",""Внеоборотные активы""";"""2023"",""конец"",""Внеоборотные активы"""
T24_000000_t01Ved14mo8.xlsx;Оборотные активы;OboAkt_1;7;8;"""2022"",""предыдущий"",""Оборотные активы""";"""2023"",""конец"",""Оборотные активы"""
T24_000000_t01Ved14mo8.xlsx;Капитал и резервы;KapIRez_1;9;10;"""2022"",""предыдущий"",""Капитал и резервы""";"""2023"",""конец"",""Капитал и резервы"""
T24_000000_t01Ved14mo8.xlsx;Долгосрочные обязательства;DolOby_1;11;12;"""2022"",""предыдущий"",""Долгосрочные обязательства""";"""2023"",""конец"",""Долгосрочные обязательства"""
T24_000000_t01Ved14mo8.xlsx;Краткосрочные обязательства;KraOby_1;13;14;"""2022"",""предыдущий"",""Краткосрочные обязательства""";"""2023"",""конец"",""Краткосрочные обязательства"""
T24_000000_t01Ved14mo8.xlsx;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;ValBalUbyOrgNaKonGoItAktUbyOrg_1;15;;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций;Валюта баланса убыточных организаций, на конец года итог актива убыточных организаций
T24_000000_t01Ved14mo8.xlsx;Валюта баланса убыточных организаций, на конец года в % к валюте баланса;ValBalUbyOrgNaKonGoV%KValBal_1;16;;Валюта баланса убыточных организаций, на конец года в % к валюте баланса;Валюта баланса убыточных организаций, на конец года в % к валюте баланса
T24_000000_t03Ved14.xlsx;Внеоборотные активы;VneAkt_2;2;3;Внеоборотные активы;Внеоборотные активы
T24_000000_t03Ved14.xlsx;нематериальные активы;NemAkt;4;5;нематериальные активы;нематериальные активы
T24_000000_t03Ved14.xlsx;основные средства;OsnSre;6;7;основные средства;основные средства
T24_000000_t03Ved14.xlsx;долгосрочные финансовые вложения;DolFinVlo;8;9;долгосрочные финансовые вложения;долгосрочные финансовые вложения
T24_000000_t03Ved14.xlsx;отложенные налоговые активы;OtlNalAkt;10;11;отложенные налоговые активы;отложенные налоговые активы
T24_000000_t03Ved14.xlsx;прочие внеоборотные активы;ProVneAkt;12;13;прочие внеоборотные активы;прочие внеоборотные активы
T24_000000_t10Ved14.xlsx;Оборотные активы;OboAkt_2;3;4;Оборотные активы;Оборотные активы
T24_000000_t10Ved14.xlsx;Запасы;VToChiIzOboAktZap;5;6; Запасы; Запасы
T24_000000_t10Ved14.xlsx;налог на добавленную стоимость по приобретенным ценностям;VToChiIzOboAktNalNaDobStoPoPriTse;7;8; налог на добавленную стоимость по приобретенным ценностям; налог на добавленную стоимость по приобретенным ценностям
T24_000000_t10Ved14.xlsx;дебиторская задолженность;VToChiIzOboAktDebZad;9;10;в том числе из оборотных активов: дебиторская задолженность;в том числе из оборотных активов: дебиторская задолженность
T24_000000_t10Ved14.xlsx;краткосрочные финансовые вложения (за исключением денежных эквивалентов);VToChiIzOboAktKraFinVlo(zIskDenEkv;11;12;в том числе из оборотных активов: краткосрочные финансовые вложения (за исключением денежных эквивалентов);в том числе из оборотных активов: краткосрочные финансовые вложения (за исключением денежных эквивалентов)
T24_000000_t10Ved14.xlsx;денежные средства и денежные эквиваленты;VToChiIzOboAktDenSreIDenEkv;13;14;в том числе из оборотных активов: денежные средства и денежные эквиваленты;в том числе из оборотных активов: денежные средства и денежные эквиваленты
T24_000000_t10Ved14.xlsx;прочие оборотные активы;VToChiIzOboAktProOboAkt;15;16;в том числе из оборотных активов: прочие оборотные активы;в том числе из оборотных активов: прочие оборотные активы
T24_000000_t13Ved14.xlsx;Оборотные активы длительность 1 оборота;OboAktDli1Obo;3;;Оборотные активы длительность 1 оборота;Оборотные активы длительность 1 оборота
T24_000000_t13Ved14.xlsx;Запасы длительность 1 оборота;ZapDli1Obo;4;;Запасы длительность 1 оборота;Запасы длительность 1 оборота
T24_000000_t13Ved14.xlsx;Краткосрочная кредиторская задолженность средний срок погашения;KraKreZadSreSrPog;5;;Краткосрочная кредиторская задолженность средний срок погашения;Краткосрочная кредиторская задолженность средний срок погашения
T24_000000_t13Ved14.xlsx;Финансовые и другие активы (дебиторская, НДС по приобретенным ценностям, краткосрочные финансовые вложения) средний срок погашения;FinIDruAkt(deNdPoPriTseKraFinVloSreSrPog;6;;Финансовые и другие активы (дебиторская, НДС по приобретенным ценностям, краткосрочные финансовые вложения) средний срок погашения;Финансовые и другие активы (дебиторская, НДС по приобретенным ценностям, краткосрочные финансовые вложения) средний срок погашения
T24_000000_t13Ved14.xlsx;Дебиторская задолженность средний срок погашения;DebZadSreSrPog;7;;Дебиторская задолженность средний срок погашения;Дебиторская задолженность средний срок погашения
T24_000000_t13Ved14.xlsx;Средняя стоимость оборотных активов, тыс.рублей;SreStoOboAktTys;8;;Средняя стоимость оборотных активов, тыс.рублей;Средняя стоимость оборотных активов, тыс.рублей
T24_000000_t19Ved14.xlsx;Уставный капитал (Паевой фонд);UstKap(paFon;3;4;Уставный капитал (Паевой фонд);Уставный капитал (Паевой фонд)
T24_000000_t19Ved14.xlsx;Собственные акции, выкупленные у акционеров (Целевой капитал);SobAktVykUAkt(tsKap;5;6;Собственные акции, выкупленные у акционеров (Целевой капитал);Собственные акции, выкупленные у акционеров (Целевой капитал)
T24_000000_t19Ved14.xlsx;Добавочный капитал;DobKap;7;8;Добавочный капитал;Добавочный капитал
T24_000000_t19Ved14.xlsx;переоценка внеоборотных активов;PerVneAkt;9;10;переоценка внеоборотных активов;переоценка внеоборотных активов
T24_000000_t19Ved14.xlsx;добавочный капитал (без переоценки)(целевые средства);DobKap(bPerSre;11;12;добавочный капитал (без переоценки)(целевые средства);добавочный капитал (без переоценки)(целевые средства)
T24_000000_t19Ved14.xlsx;Резервный капитал (Фонд недвижимого и особо целевого движимого имущества);RezKap(foNedIOsoTseDviImu;13;14;Резервный капитал (Фонд недвижимого и особо целевого движимого имущества);Резервный капитал (Фонд недвижимого и особо целевого движимого имущества)
T24_000000_t19Ved14.xlsx;Нераспределенная прибыль (непокрытый убыток) (Резервные и иные целевые фонды);NerPri(neUby(reIInTseFon;15;16;Нераспределенная прибыль (непокрытый убыток) (Резервные и иные целевые фонды);Нераспределенная прибыль (непокрытый убыток) (Резервные и иные целевые фонды)
T24_000000_t20Ved14.xlsx;Займы и кредиты;ZayIKre;2;3;"""2022"",""предыдущий"",""Займы и кредиты""";"""2023"",""конец"",""Займы и кредиты"""
T24_000000_t20Ved14.xlsx;Отложенные налоговые обязательства;OtlNalOby;4;5;"""2022"",""предыдущий"",""Отложенные налоговые обязательства""";"""2023"",""конец"",""Отложенные налоговые обязательства"""
T24_000000_t20Ved14.xlsx;Оценочные обязательства;OtsOby;6;7;"""2022"",""предыдущий"",""Оценочные обязательства""";"""2023"",""конец"",""Оценочные обязательства"""
T24_000000_t20Ved14.xlsx;Прочие долгосрочные обязательства;ProDolOby;8;9;"""2022"",""предыдущий"",""Прочие долгосрочные обязательства""";"""2023"",""конец"",""Прочие долгосрочные обязательства"""
T24_000000_t21Ved14.xlsx;Займы и кредиты;ZayIKre_1;3;4;"""2022"",""предыдущий"",""Займы и кредиты""";"""2023"",""конец"",""Займы и кредиты"""
T24_000000_t21Ved14.xlsx;Кредиторская задолженность;KreZad;5;6;"""2022"",""предыдущий"",""Кредиторская задолженность""";"""2023"",""конец"",""Кредиторская задолженность"""
T24_000000_t21Ved14.xlsx;Доходы будущих периодов;DohBudPer;7;8;"""2022"",""предыдущий"",""Доходы будущих периодов""";"""2023"",""конец"",""Доходы будущих периодов"""
T24_000000_t21Ved14.xlsx;Оценочные обязательства;OtsOby_1;9;10;"""2022"",""предыдущий"",""Оценочные обязательства""";"""2023"",""конец"",""Оценочные обязательства"""
T24_000000_t21Ved14.xlsx;Прочие краткосрочные обязательства;ProKraOby;11;12;"""2022"",""предыдущий"",""Прочие краткосрочные обязательства""";"""2023"",""конец"",""Прочие краткосрочные обязательства"""
T24_000000_t22Ved14.xlsx;Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%);SooZaeISobSre(noOgrMenLiRav100;3;4;"""2022"",""предыдущий"",""Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%)""";"""2023"",""конец"",""Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%)"""
T24_000000_t22Ved14.xlsx;Коэффициент автономии (доля собственных средств в валюте баланса) (нормальное ограничение больше либо равно 50 %);KoeAvt(doSobSreVValBal(noOgrBolLiRav50%);5;6;"""2022"",""предыдущий"",""Коэффициент автономии (доля собственных средств в валюте баланса) (нормальное ограничение больше либо равно 50 %)""";"""2023"",""конец"",""Коэффициент автономии (доля собственных средств в валюте баланса) (нормальное ограничение больше либо равно 50 %)"""
T24_000000_t22Ved14.xlsx;Коэффициент маневренности (доля собственных оборотных средств к источнику собственных средств);KoeMan(doSobOboSreKIstSobSre;7;8;"""2022"",""предыдущий"",""Коэффициент маневренности (доля собственных оборотных средств к источнику собственных средств)""";"""2023"",""конец"",""Коэффициент маневренности (доля собственных оборотных средств к источнику собственных средств)"""
T24_000000_t22Ved14.xlsx;Доля имущества производственного назначения в валюте баланса;DolImuProNazVValBal;9;10;"""2022"",""предыдущий"",""Доля имущества производственного назначения в валюте баланса""";"""2023"",""конец"",""Доля имущества производственного назначения в валюте баланса"""
T24_000000_t22Ved14.xlsx;Коэффициент обеспеченности собственными материальными оборотными средствами;KoeObeSobMatOboSre;11;12;"""2022"",""предыдущий"",""Коэффициент обеспеченности собственными материальными оборотными средствами""";"""2023"",""конец"",""Коэффициент обеспеченности собственными материальными оборотными средствами"""
T24_000000_t22Ved14.xlsx;Коэффициент обеспеченности собственными оборотными средствами;KoeObeSobOboSre;13;14;"""2022"",""предыдущий"",""Коэффициент обеспеченности собственными оборотными средствами""";"""2023"",""конец"",""Коэффициент обеспеченности собственными оборотными средствами"""
T24_000000_t22Ved14.xlsx;Доля долгосрочных обязательств к источнику собственных средств и долгосрочным обязательствам;DolDolObyKIstSobSreIDolOby;15;16;"""2022"",""предыдущий"",""Доля долгосрочных обязательств к источнику собственных средств и долгосрочным обязательствам""";"""2023"",""конец"",""Доля долгосрочных обязательств к источнику собственных средств и долгосрочным обязательствам"""
T24_000000_t22Ved14.xlsx;Доля источников финансирования (источники собственных средств и долгосрочные обязательства) в валюте баланса;DolIstFin(isSobSreIDolObyVValBal;17;18;"""2022"",""предыдущий"",""Доля источников финансирования (источники собственных средств и долгосрочные обязательства) в валюте баланса""";"""2023"",""конец"",""Доля источников финансирования (источники собственных средств и долгосрочные обязательства) в валюте баланса"""
T24_000000_t22Ved14.xlsx;Коэффициент абсолютной ликвидности (нормальное ограничение 20 %);KoeAbsLik(noOgr20%);19;20;"""2022"",""предыдущий"",""Коэффициент абсолютной ликвидности (нормальное ограничение 20 %)""";"""2023"",""конец"",""Коэффициент абсолютной ликвидности (нормальное ограничение 20 %)"""
T24_000000_t22Ved14.xlsx;Коэффициент ликвидности (нормальное ограничение 80 %);KoeLik(noOgr80%);21;22;"""2022"",""предыдущий"",""Коэффициент ликвидности (нормальное ограничение 80 %)""";"""2023"",""конец"",""Коэффициент ликвидности (нормальное ограничение 80 %)"""
T24_000000_t22Ved14.xlsx;Коэффициент текущей ликвидности (покрытия) (нормальное ограничение 200 %);KoeTekLik(po(noOgr20%);23;24;"""2022"",""предыдущий"",""Коэффициент текущей ликвидности (покрытия) (нормальное ограничение 200 %)""";"""2023"",""конец"",""Коэффициент текущей ликвидности (покрытия) (нормальное ограничение 200 %)"""
T24_000000_t22Ved14.xlsx;Соотношение собственных и заемных средств;SooSobIZaeSre;25;26;"""2022"",""предыдущий"",""Соотношение собственных и заемных средств""";"""2023"",""конец"",""Соотношение собственных и заемных средств"""
T24_000000_t22Ved14mo8.xlsx;Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%);SooZaeISobSre(noOgrMenLiRav100_1;3;4;"""2022"",""предыдущий"",""Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%)""";"""2023"",""конец"",""Соотношение заемных и собственных средств (нормальное ограничение меньше либо равно 100%)"""
